question,context,answer,good?,validated by
Cómo hago para crear proyectos usando el API?,,"Para crear proyectos usando el API de Globant Enterprise AI, debes seguir estos pasos básicos:
1. **Acceder a la interfaz de la API**: Primero, asegúrate de tener acceso a la Globant Enterprise AI y obtener un token API que deberás usar para autenticar tus solicitudes.
2. **Hacer una solicitud POST**: Utiliza el endpoint correspondiente para crear un nuevo proyecto. La solicitud debe incluir un cuerpo en formato JSON con la información del proyecto, como el nombre y la descripción. 
Aunque en la documentación no se detallan explícitamente los parámetros para crear un proyecto, normalmente incluirías elementos como:
   ```json
   { 
     ""projectName"": ""Nombre del Proyecto"", 
     ""projectDescription"": ""Descripción breve del proyecto"" 
   }
   ```",OK,lsilveira
Cómo puedo integrar un asistente flow en mi aplicación web?,,"Para integrar un asistente Flow en tu aplicación web, primero debes crear el Flow usando la plataforma de Globant Enterprise AI. Aquí tienes un resumen de los pasos que debes seguir:

1. **Crear un nuevo Flow**:
   - Inicia sesión en el Globant Enterprise AI Backoffice.
   - Selecciona el proyecto y haz clic en ""Flows"".
   - Haz clic en el botón ""Create"" para comenzar a crear un nuevo Flow, donde necesitarás completar campos como el nombre y la descripción del Flow.

2. **Configurar el Flow**:
   - Después de crear el Flow, podrás gestionar e incluir los asistentes que deseas usar y personalizar su comportamiento (por ejemplo, configurando un nodo de Mensaje, un nodo de Entrada de Usuario para capturar las consultas del usuario, y un nodo de Asistente para responder a esas consultas).

3. **Uso de Flows**:
   - Debido a que tendrás dos tipos de Flows (flujos de conversación y flujos de asistente), deberás seleccionar y configurar el que mejor se adapte a tus necesidades. Puedes añadir nodos para determinar cómo se gestionará cada interacción (por ejemplo, usando un nodo Condicional para manejar diferentes tipos de consultas de los usuarios) [3](https://wiki.genexus.com/enterprise-ai/wiki?363).

4. **Pruebas y Ajustes**:
   - Una vez configurado el Flow, asegúrate de guardar los cambios y realiza pruebas para verificar que interactúe correctamente con los usuarios.
   - Puedes ejecutar el Flow y acceder a una página de demostración para ver cómo funciona en un entorno real.

5. **Integración en tu aplicación**:
   - Dependiendo de cómo desees integrar el Flow, podrías necesitar la documentación específica de la API o el SDK para interactuar con los asistentes en tu aplicación web.

Estos pasos te proporcionarán una base para comenzar. Si necesitas información más detallada, consulta la documentación específica sobre cómo crear Flows y utilizarlos en tu aplicación [2](https://wiki.genexus.com/enterprise-ai/wiki?322). 

 https://wiki.genexus.com/enterprise-ai/wiki?31
 https://wiki.genexus.com/enterprise-ai/wiki?322
 https://wiki.genexus.com/enterprise-ai/wiki?17
 https://wiki.genexus.com/enterprise-ai/wiki?322
 https://wiki.genexus.com/enterprise-ai/wiki?363
time: 9.01s",OK,cgurrea
Puedo publicar un Flow en Teams o Whatsapp?,,"Sí, puedes publicar un Flow en Teams. Para ello, debes seguir una serie de pasos que incluyen la creación de un bot en el portal de desarrolladores de Teams y la configuración de la integración del Flow en la plataforma. Puedes consultar la guía completa sobre cómo exponer un Flow a través de Teams en la documentación oficial [aquí](https://wiki.genexus.com/enterprise-ai/wiki?391).

En cuanto a WhatsApp, la documentación menciona que puedes configurar integraciones con Slack, WhatsApp y WhatsApp Client a través de B2Chat, lo que también sugiere que puedes publicar un Flow en WhatsApp. Para esto, deberías acceder a la sección de Integraciones al administrar tu Flow. Puedes revisar los detalles en la sección de configuración de Flows [aquí](https://wiki.genexus.com/enterprise-ai/wiki?384). 

 https://wiki.genexus.com/enterprise-ai/wiki?384
 https://wiki.genexus.com/enterprise-ai/wiki?17
 https://wiki.genexus.com/enterprise-ai/wiki?391
 https://wiki.genexus.com/enterprise-ai/wiki?8",OK,lsilveira
Cómo hago para subir un archivo a un proyecto?,,"Para subir un archivo a un proyecto en Globant Enterprise AI, sigue estos pasos utilizando la API de Archivos:

1. **Subir un archivo**: Utiliza el endpoint `POST /files` de la API de Archivos para subir el archivo que deseas gestionar. Aquí tienes un ejemplo del comando curl que puedes usar:

   ```bash
   curl -X POST ""$BASE_URL/v1/files"" \
   -H ""Authorization: Bearer $SAIA_PROJECT_APITOKEN"" \
   -H ""Accept: application/json"" \
   -H ""fileName: $FILE_NAME"" \
   -H ""organizationId: $ORGANIZATION_ID"" \
   -H ""projectId: $PROJECT_ID"" \
   -F ""file=@/path/to/file.txt""
   ```

   Reemplaza las variables `$BASE_URL`, `$SAIA_PROJECT_APITOKEN`, `$FILE_NAME`, `$ORGANIZATION_ID`, `$PROJECT_ID` y la ruta del archivo con los valores correspondientes.

2. **Validar la subida**: Una vez que el archivo haya sido subido exitosamente, verifica la respuesta para ver si contiene la propiedad `success: true`. No necesitas usar un `dataFileId`, pero puedes revisar la respuesta para confirmar que el archivo fue subido correctamente.

3. **Referenciar el archivo**: Después de subirlo, puedes referenciar el archivo en tus solicitudes a los modelos, utilizando el nombre del archivo que subiste.

Para obtener más información, consulta la sección sobre cómo [subir y gestionar archivos a través de la API](https://wiki.genexus.com/enterprise-ai/wiki?454). [2](https://wiki.genexus.com/enterprise-ai/wiki?454) ",OK,lsilveira
Cómo puedo usar un archivo como contexto del prompt de un asistente?,,"Puedes usar un archivo como contexto del prompt de un asistente mediante las siguientes funcionalidades disponibles en ""File Support in Assistants"":

1. **Subida del Archivo**: Primero, debes subir tu archivo usando la interfaz del asistente. Puedes hacer clic en el botón “Upload File” y seleccionar el archivo que deseas utilizar.

2. **Referencias de Archivos**: En tu prompt, puedes hacer referencia a los archivos subidos usando la sintaxis `{file:filename}`. Por ejemplo, podrías escribir un prompt como: “Resume los puntos clave del documento `{file:contract}`”, donde `contract` es el nombre del archivo subido.

3. **Preguntas Basadas en Documentos**: Puedes hacer preguntas específicas basadas en el contenido del archivo que has subido. Esto permite que el asistente responda utilizando el contexto proporcionado por el archivo.

4. **Tipos de Archivos**: El soporte de archivos no se limita solo a documentos; también puedes trabajar con imágenes, videos y archivos de audio usando una sintaxis similar, como `{file:image1}` para imágenes o `{file:video1}` para videos.

5. **Resultados**: Una vez que envíes tu prompt, el asistente procesará tu solicitud utilizando el archivo como referencia y mostrará los resultados en base al contenido del archivo.

Puedes consultar más detalles sobre el soporte de archivos en los asistentes en la siguiente referencia: [File Support in Assistants](https://wiki.genexus.com/enterprise-ai/wiki?346). 

 https://wiki.genexus.com/enterprise-ai/wiki?346
 https://wiki.genexus.com/enterprise-ai/wiki?322
 https://wiki.genexus.com/enterprise-ai/wiki?349
 https://wiki.genexus.com/enterprise-ai/wiki?85
 https://wiki.genexus.com/enterprise-ai/wiki?322",OK,kbaz
Cómo se implementa un asistente RAG?,,"Para implementar un asistente RAG en Globant Enterprise AI, debes seguir varios pasos en función de las fases del proceso descritas en la documentación. Aquí tienes un resumen de cómo funciona:

1. **Ingesta de Datos**: Este es el primer paso donde cargas diferentes tipos de documentos desde múltiples fuentes. Se debe configurar una estrategia de segmentación de los datos, donde los fragmentos, conocidos como ""chunks"", son preparados para la recuperación futura. La configuración de chunks incluye definir el tamaño y la superposición de los mismos (por defecto, 1000 caracteres y 100 caracteres de superposición) [4](https://wiki.genexus.com/enterprise-ai/wiki?44).

2. **Recuperación**: En esta fase, se accede a la base de datos vectorial donde los documentos ingeridos son indexados. Los embeddings son generados a partir de los documentos y la consulta del usuario, capturando la esencia contextual de la información [4](https://wiki.genexus.com/enterprise-ai/wiki?44).

3. **Generación**: Se utiliza la configuración del asistente RAG para definir qué modelo se accederá y con qué parámetros. Esto incluye prompts que guían la generación de respuestas relevantes y coherentes [4](https://wiki.genexus.com/enterprise-ai/wiki?44).

4. **Interacción con el Usuario**: Finalmente, la arquitectura permite la comunicación entre los usuarios y los asistentes RAG a través de una API, facilitando la obtención de respuestas a consultas de manera eficiente [4](https://wiki.genexus.com/enterprise-ai/wiki?44).

Es importante asegurarse de que todo esté correctamente configurado en las opciones del proyecto, y se puede personalizar el comportamiento de los asistentes RAG a través de las secciones específicas de la plataforma [1](https://wiki.genexus.com/enterprise-ai/wiki?64). 

 https://wiki.genexus.com/enterprise-ai/wiki?64
 https://wiki.genexus.com/enterprise-ai/wiki?31
 https://wiki.genexus.com/enterprise-ai/wiki?61
 https://wiki.genexus.com/enterprise-ai/wiki?44
 https://wiki.genexus.com/enterprise-ai/wiki?322",puede mejorar,lsilveira
What role is required to configure quota limits for projects?,,"To configure quota limits for projects, you need the **Organization** role. This role allows access to manage quota limits for each project in the Globant Enterprise AI backoffice. 

For more details, you can refer to the section on [Managing quotas per project](https://wiki.genexus.com/enterprise-ai/wiki?71). 

 31 https://wiki.genexus.com/enterprise-ai/wiki?31
 42 https://wiki.genexus.com/enterprise-ai/wiki?42
 71 https://wiki.genexus.com/enterprise-ai/wiki?71",OK,lsilveira
Where can you find the option to manage quota limits for each project?,,"You can find the option to manage quota limits for each project in the **Projects** section of the Globant Enterprise AI backoffice. To access and configure quota limits, you need the Organization role. After selecting the desired project, you can click on the **USAGE LIMITS** link to manage the quota limits. 

For more details, you can refer to the [Managing quotas per project](https://wiki.genexus.com/enterprise-ai/wiki?71) documentation. 

 31 https://wiki.genexus.com/enterprise-ai/wiki?31
 42 https://wiki.genexus.com/enterprise-ai/wiki?42
 71 https://wiki.genexus.com/enterprise-ai/wiki?71",OK,lsilveira
how do I use the chat API?,,"To use the Chat API, you need to follow a few steps:

Initialize with an API Token: First, you need to acquire an API token associated with your project scope. This token is used in the authorization header for making API requests.

Create an Assistant: You can create a chat assistant by defining its type and prompt. Here’s an example of creating an assistant with variables:

curl --location 'https://api.saia.ai/v1/assistant' \
--header 'Content-Type: application/json' \
--header 'Authorization: Bearer $SAIA_APITOKEN' \
--data '{ ""type"": ""chat"", ""name"": ""Test-variables"", ""prompt"": ""You are a translator. Translate to {language}.""}'
Use the Assistant: Once created, you can interact with the assistant by sending requests containing a model, messages, and any variables defined in the assistant. Here is a sample curl request using an assistant:

curl --location 'https://api.saia.ai/chat' \
--header 'Saia-Auth: $SAIA_APITOKEN' \
--header 'X-Saia-Cache-Enabled: false' \
--header 'Content-Type: application/json' \
--data '{ ""model"": ""saia:assistant:Test-variables"", ""messages"": [ { ""role"": ""user"", ""content"": ""Hello"" } ], ""variables"": [ { ""key"": ""language"", ""value"": ""French"" } ], ""stream"": false}'
Make sure to replace $SAIA_APITOKEN with your actual API token and customize the messages and variables as per your needs.

For more detailed instructions and available options, you can refer to the API documentation here.

 29 https://wiki.genexus.com/enterprise-ai/wiki?29
 34 https://wiki.genexus.com/enterprise-ai/wiki?34
 69 https://wiki.genexus.com/enterprise-ai/wiki?69
 33 https://wiki.genexus.com/enterprise-ai/wiki?205
 205 https://wiki.genexus.com/enterprise-ai/wiki?15",OK,lsilveira
How do you maintain the context of a conversation in the Chat API?,,"To maintain the context of a conversation in the Chat API, you can utilize the following features:

1. **Include Conversation History**: This option is enabled by default, allowing the assistant to take previous messages into account during interactions. This means that the history of the conversation is included in the context, helping the assistant understand the current query better.

2. **Include Context Variables**: This feature is also enabled by default and permits the storage of context variables during the conversation. These variables can be sent to the assistant to enhance responses based on previous interactions.

3. **History Prompt Usage**: The handling of historical interactions is managed through what is known as the History Prompt. This enables the system to either compress the history and create a concise summary or use the last few interactions directly, depending on the specific configuration.

4. **Compact History Option**: You can customize how the RAG Assistant handles conversation history by setting a `compactHistory` option to `compact` (default) or `none`. Using `compact` summarizes the conversation history, while `none` allows the assistant to use the last n interactions as defined by the History Message Count parameter.

This approach ensures that the context is relevant and tailored to the interactions, enhancing the assistant's ability to provide accurate and meaningful responses. 

For more details, you can refer to the following context pieces: [How to create a Flow](https://wiki.genexus.com/enterprise-ai/wiki?322) and [History Prompt Usage](https://wiki.genexus.com/enterprise-ai/wiki?297). 

 322 https://wiki.genexus.com/enterprise-ai/wiki?322
 31 https://wiki.genexus.com/enterprise-ai/wiki?31
 297 https://wiki.genexus.com/enterprise-ai/wiki?297
 15 https://wiki.genexus.com/enterprise-ai/wiki?15
 363 https://wiki.genexus.com/enterprise-ai/wiki?363",puede mejorar,lsilveira
